Time,IDX0GBPEURCR,IDX0USDEURCR,ER01,ER02,HE00,H0A0,EU0009658152,FTPTT100,GDUEEGF,MSCI0GDLETCF,SPTR,NASDAQ100,IDX00GOLDBUL,IDX000WTIOIL,IDX00DJUBSCM
8/18/2000,-0.0119,-0.003846,-0.000671,-0.00255,-0.0027300000000000002,-0.00359,0.00045700000000000005,0.027995999999999997,0.009762,0.026023,0.013715,0.044696,0.005025,0.03127,0.011996
8/25/2000,-0.008683,0.005109000000000001,0.000933,0.001039,-0.015844999999999998,0.003616,-0.000975,0.003171,-0.007033,-0.060476,0.009975,0.032499,-0.011036,0.06377000000000001,0.011356
9/1/2000,-0.000492,0.00301,0.002595,0.0034170000000000003,0.014015999999999999,0.006965000000000001,0.023983,0.035358,-0.007035,-0.0070090000000000005,0.009891,0.042747,0.008261,-0.019101,0.028611
9/8/2000,0.002943,0.03784,1.7e-05,-0.000659,0.012481,0.008391,-0.013134999999999999,-0.028067,-0.010333,0.005156,-0.017155,-0.069734,-0.014553,0.007490000000000001,0.008543
9/15/2000,0.0028710000000000003,0.015452,0.003022,0.003925,0.000628,-0.00020299999999999997,-0.005684000000000001,-0.027688,-0.031764999999999995,-0.074119,-0.018943,-0.035954,-0.0036609999999999998,0.068391,0.009156999999999998
9/22/2000,0.013862000000000001,-0.025109,0.002805,0.004417,-0.039089,-0.011033,-0.048809,-0.032652999999999995,-0.0689,-0.14775,-0.011587,0.006759,-0.002491,-0.09268,-0.016312
9/29/2000,0.008143000000000001,-0.0065829999999999994,-0.000164,-0.000547,-0.016372,-0.006209,-0.0061070000000000004,0.014606999999999998,0.022466,0.105298,-0.008173999999999999,-0.035278,0.0064930000000000005,-0.053988,-0.014463
10/6/2000,-0.003633,0.016819,0.000889,0.000174,-0.00975,-0.003832,0.008787,0.015563999999999998,-0.00703,0.072213,-0.01882,-0.07244400000000001,-0.017307,0.0006490000000000001,-0.0063170000000000006
10/13/2000,0.017453,0.014828000000000001,0.0023469999999999997,0.003107,-0.028712,-0.011913,-0.035351,-0.028087,-0.073262,-0.125664,-0.024595,-0.010317,0.009909999999999999,0.13383,0.040587
10/20/2000,0.017708,0.016838,-0.00045599999999999997,-0.004154,-0.033116,-0.010235,0.022323,0.010905,0.009524,0.034019,0.016632,0.054561,-0.005438,-0.035439,-0.031938999999999995
